         --- PACKET LOG ---
CHANNEL: DatagramSocket1
INTERLEAVER DEPTH: 1
TIMESTAMP: 10-03-2026_13-17-45
-----------------------------------------
SEQ NO RECEIVED  DELAY(ms)  STATUS      
0      0         0          TIMEOUT     
1      0         0          TIMEOUT     
2      0         0          TIMEOUT     
3      0         0          TIMEOUT     
4      0         0          TIMEOUT     
5      0         0          TIMEOUT     
6      0         0          TIMEOUT     
7      0         0          TIMEOUT     
8      0         0          TIMEOUT     
9      0         0          TIMEOUT     
10     0         0          TIMEOUT     
11     0         0          TIMEOUT     
12     0         0          TIMEOUT     
13     0         0          TIMEOUT     
14     0         0          TIMEOUT     
