Packet Log,Channle: , DatagramSocket3,TimeStamp: 25-02-2026_13-50-53
Seq,Received,Delay(ms),Status
0 , 0 , 0 , TIMEOUT 
0,1 ,1,OUT_OF_ORDER
1,1 ,26,OK
2,1 ,25,OK
4,1 ,24,OUT_OF_ORDER
3,1 ,26,OUT_OF_ORDER
5,1 ,24,OK
7,1 ,24,OUT_OF_ORDER
6,1 ,24,OUT_OF_ORDER
8 , 0 , 0 , TIMEOUT 
9 , 0 , 0 , TIMEOUT 
10 , 0 , 0 , TIMEOUT 
11 , 0 , 0 , TIMEOUT 
9,1 ,0,OUT_OF_ORDER
8,1 ,127,OUT_OF_ORDER
10,1 ,0,OUT_OF_ORDER
12,1 ,0,OK
13 , 0 , 0 , TIMEOUT 
14 , 0 , 0 , TIMEOUT 
15 , 0 , 0 , TIMEOUT 
16 , 0 , 0 , TIMEOUT 
17 , 0 , 0 , TIMEOUT 
11,1 ,126,OUT_OF_ORDER
13,1 ,1,OUT_OF_ORDER
15,1 ,0,OUT_OF_ORDER
14,1 ,126,OUT_OF_ORDER
16,1 ,125,OUT_OF_ORDER
18,1 ,1,OK
17,1 ,127,OUT_OF_ORDER
20,1 ,126,OUT_OF_ORDER
19,1 ,126,OUT_OF_ORDER
22,1 ,2,OUT_OF_ORDER
23,1 ,128,OK
25,1 ,1,OUT_OF_ORDER
21,1 ,129,OUT_OF_ORDER
27,1 ,1,OUT_OF_ORDER
28,1 ,0,OK
26,1 ,128,OUT_OF_ORDER
29,1 ,0,OK
30 , 0 , 0 , TIMEOUT 
31 , 0 , 0 , TIMEOUT 
32 , 0 , 0 , TIMEOUT 
30,1 ,191,OUT_OF_ORDER
36,1 ,64,OUT_OF_ORDER
37 , 0 , 0 , TIMEOUT 
38 , 0 , 0 , TIMEOUT 
35,1 ,125,OUT_OF_ORDER
37,1 ,0,OUT_OF_ORDER
39,1 ,126,OK
38,1 ,126,OUT_OF_ORDER
40,1 ,126,OK
42,1 ,0,OUT_OF_ORDER
44,1 ,0,OUT_OF_ORDER
45,1 ,0,OK
46,1 ,0,OK
41,1 ,126,OUT_OF_ORDER
47,1 ,126,OK
49,1 ,1,OUT_OF_ORDER
48,1 ,127,OUT_OF_ORDER
50 , 0 , 0 , TIMEOUT 
51 , 0 , 0 , TIMEOUT 
52 , 0 , 0 , TIMEOUT 
50,1 ,190,OUT_OF_ORDER
53,1 ,64,OK
52,1 ,64,OUT_OF_ORDER
55,1 ,63,OUT_OF_ORDER
56,1 ,188,OK
54,1 ,188,OUT_OF_ORDER
59,1 ,63,OUT_OF_ORDER
60,1 ,63,OK
58,1 ,189,OUT_OF_ORDER
63,1 ,62,OUT_OF_ORDER
62,1 ,62,OUT_OF_ORDER
64 , 0 , 0 , TIMEOUT 
65 , 0 , 0 , TIMEOUT 
66,1 ,102,OK
67,1 ,102,OK
64,1 ,229,OUT_OF_ORDER
68 , 0 , 0 , TIMEOUT 
70,1 ,0,OUT_OF_ORDER
68,1 ,252,OUT_OF_ORDER
71,1 ,126,OK
73,1 ,0,OUT_OF_ORDER
72,1 ,125,OUT_OF_ORDER
75,1 ,126,OUT_OF_ORDER
74,1 ,126,OUT_OF_ORDER
78,1 ,0,OUT_OF_ORDER
79,1 ,0,OK
76,1 ,253,OUT_OF_ORDER
81,1 ,0,OUT_OF_ORDER
80,1 ,127,OUT_OF_ORDER
82 , 0 , 0 , TIMEOUT 
82,1 ,148,OUT_OF_ORDER
85,1 ,21,OUT_OF_ORDER
86,1 ,21,OK
87,1 ,21,OK
88 , 0 , 0 , TIMEOUT 
84,1 ,168,OUT_OF_ORDER
88,1 ,43,OUT_OF_ORDER
89,1 ,43,OK
90 , 0 , 0 , TIMEOUT 
91 , 0 , 0 , TIMEOUT 
92,1 ,84,OK
91,1 ,211,OUT_OF_ORDER
93,1 ,84,OK
95,1 ,84,OUT_OF_ORDER
96,1 ,82,OK
97,1 ,82,OK
94,1 ,209,OUT_OF_ORDER
99,1 ,81,OUT_OF_ORDER
101,1 ,82,OUT_OF_ORDER
98,1 ,207,OUT_OF_ORDER
102 , 0 , 0 , TIMEOUT 
103 , 0 , 0 , TIMEOUT 
102,1 ,128,OUT_OF_ORDER
105,1 ,1,OUT_OF_ORDER
104,1 ,126,OUT_OF_ORDER
107,1 ,123,OUT_OF_ORDER
106,1 ,127,OUT_OF_ORDER
109,1 ,0,OUT_OF_ORDER
108,1 ,127,OUT_OF_ORDER
112,1 ,124,OUT_OF_ORDER
114,1 ,0,OUT_OF_ORDER
110,1 ,126,OUT_OF_ORDER
116,1 ,0,OUT_OF_ORDER
115,1 ,126,OUT_OF_ORDER
118,1 ,0,OUT_OF_ORDER
119,1 ,126,OK
117,1 ,127,OUT_OF_ORDER
121,1 ,0,OUT_OF_ORDER
123,1 ,0,OUT_OF_ORDER
124 , 0 , 0 , TIMEOUT 
122,1 ,148,OUT_OF_ORDER
124,1 ,21,OUT_OF_ORDER
126,1 ,21,OUT_OF_ORDER
127,1 ,21,OK
128,1 ,21,OK
131,1 ,21,OUT_OF_ORDER
132 , 0 , 0 , TIMEOUT 
133 , 0 , 0 , TIMEOUT 
134 , 0 , 0 , TIMEOUT 
135 , 0 , 0 , TIMEOUT 
136 , 0 , 0 , TIMEOUT 
125,1 ,377,OUT_OF_ORDER
133,1 ,127,OUT_OF_ORDER
132,1 ,127,OUT_OF_ORDER
135,1 ,127,OUT_OF_ORDER
134,1 ,253,OUT_OF_ORDER
136,1 ,127,OUT_OF_ORDER
137,1 ,127,OK
138,1 ,126,OK
141,1 ,125,OUT_OF_ORDER
140,1 ,125,OUT_OF_ORDER
143,1 ,125,OUT_OF_ORDER
142,1 ,125,OUT_OF_ORDER
