Packet Log,Channle:,DatagramSocket3,TimeStamp:,25-02-2026_14-27-11
Seq,Received,Delay(ms),Status
0,0,0,TIMEOUT
0,1,1,OUT_OF_ORDER
1,1,16,OK
2,1,15,OK
3,0,0,TIMEOUT
4,0,0,TIMEOUT
5,0,0,TIMEOUT
6,0,0,TIMEOUT
7,0,0,TIMEOUT
4,1,0,OUT_OF_ORDER
3,1,126,OUT_OF_ORDER
5,1,0,OUT_OF_ORDER
7,1,1,OUT_OF_ORDER
6,1,1,OUT_OF_ORDER
8,0,0,TIMEOUT
9,0,0,TIMEOUT
10,0,0,TIMEOUT
11,0,0,TIMEOUT
12,0,0,TIMEOUT
13,0,0,TIMEOUT
9,1,0,OUT_OF_ORDER
8,1,125,OUT_OF_ORDER
10,1,0,OUT_OF_ORDER
14,0,0,TIMEOUT
15,0,0,TIMEOUT
16,0,0,TIMEOUT
17,0,0,TIMEOUT
12,1,85,OUT_OF_ORDER
11,1,211,OUT_OF_ORDER
13,1,86,OUT_OF_ORDER
15,1,85,OUT_OF_ORDER
14,1,87,OUT_OF_ORDER
16,1,212,OUT_OF_ORDER
18,1,86,OK
17,1,86,OUT_OF_ORDER
20,1,85,OUT_OF_ORDER
19,1,212,OUT_OF_ORDER
22,1,85,OUT_OF_ORDER
23,1,85,OK
25,1,85,OUT_OF_ORDER
21,1,210,OUT_OF_ORDER
27,1,85,OUT_OF_ORDER
28,1,84,OK
26,1,210,OUT_OF_ORDER
29,1,84,OK
30,0,0,TIMEOUT
30,1,125,OUT_OF_ORDER
36,1,0,OUT_OF_ORDER
35,1,126,OUT_OF_ORDER
37,1,0,OK
39,1,0,OUT_OF_ORDER
38,1,0,OUT_OF_ORDER
40,1,127,OK
42,1,0,OUT_OF_ORDER
43,0,0,TIMEOUT
44,0,0,TIMEOUT
45,0,0,TIMEOUT
46,0,0,TIMEOUT
47,0,0,TIMEOUT
44,1,0,OUT_OF_ORDER
45,1,125,OUT_OF_ORDER
46,1,125,OUT_OF_ORDER
41,1,252,OUT_OF_ORDER
47,1,127,OUT_OF_ORDER
49,1,125,OUT_OF_ORDER
48,1,125,OUT_OF_ORDER
50,1,126,OK
53,1,0,OUT_OF_ORDER
52,1,125,OUT_OF_ORDER
55,1,125,OUT_OF_ORDER
56,1,0,OK
54,1,125,OUT_OF_ORDER
59,1,125,OUT_OF_ORDER
60,1,0,OK
58,1,126,OUT_OF_ORDER
63,1,0,OUT_OF_ORDER
62,1,127,OUT_OF_ORDER
66,1,0,OUT_OF_ORDER
67,1,1,OK
68,0,0,TIMEOUT
69,0,0,TIMEOUT
64,1,168,OUT_OF_ORDER
70,1,42,OK
68,1,42,OUT_OF_ORDER
71,0,0,TIMEOUT
72,0,0,TIMEOUT
73,0,0,TIMEOUT
71,1,231,OUT_OF_ORDER
73,1,106,OUT_OF_ORDER
72,1,106,OUT_OF_ORDER
75,1,106,OUT_OF_ORDER
74,1,231,OUT_OF_ORDER
78,1,105,OUT_OF_ORDER
79,1,105,OK
80,0,0,TIMEOUT
76,1,126,OUT_OF_ORDER
81,1,126,OK
80,1,126,OUT_OF_ORDER
82,1,126,OK
85,1,0,OUT_OF_ORDER
86,1,125,OK
87,1,0,OK
84,1,126,OUT_OF_ORDER
88,1,0,OK
89,1,126,OK
