Packet Log,Channle:,DatagramSocket3,TimeStamp:,01-03-2026_11-44-15
Seq,Received,Delay(ms),Status
0,0,0,TIMEOUT
1,0,0,TIMEOUT
2,0,0,TIMEOUT
0,1,0,OUT_OF_ORDER
3,0,0,TIMEOUT
4,0,0,TIMEOUT
5,0,0,TIMEOUT
6,0,0,TIMEOUT
7,0,0,TIMEOUT
1,1,126,OUT_OF_ORDER
2,1,0,OUT_OF_ORDER
4,1,1,OUT_OF_ORDER
3,1,1,OUT_OF_ORDER
8,0,0,TIMEOUT
9,0,0,TIMEOUT
10,0,0,TIMEOUT
11,0,0,TIMEOUT
12,0,0,TIMEOUT
13,0,0,TIMEOUT
5,1,126,OUT_OF_ORDER
7,1,1,OUT_OF_ORDER
6,1,1,OUT_OF_ORDER
9,1,0,OUT_OF_ORDER
8,1,2,OUT_OF_ORDER
14,0,0,TIMEOUT
15,0,0,TIMEOUT
16,0,0,TIMEOUT
17,0,0,TIMEOUT
18,0,0,TIMEOUT
10,1,236,OUT_OF_ORDER
12,1,110,OUT_OF_ORDER
11,1,110,OUT_OF_ORDER
13,1,126,OUT_OF_ORDER
15,1,0,OUT_OF_ORDER
14,1,125,OUT_OF_ORDER
16,1,125,OUT_OF_ORDER
18,1,125,OUT_OF_ORDER
17,1,126,OUT_OF_ORDER
20,1,126,OUT_OF_ORDER
19,1,126,OUT_OF_ORDER
22,1,0,OUT_OF_ORDER
23,1,1,OK
25,1,126,OUT_OF_ORDER
21,1,253,OUT_OF_ORDER
27,1,0,OUT_OF_ORDER
28,1,0,OK
26,1,253,OUT_OF_ORDER
29,1,127,OK
30,0,0,TIMEOUT
31,0,0,TIMEOUT
32,0,0,TIMEOUT
33,0,0,TIMEOUT
30,1,336,OUT_OF_ORDER
36,1,83,OUT_OF_ORDER
35,1,83,OUT_OF_ORDER
37,1,83,OK
39,1,82,OUT_OF_ORDER
38,1,208,OUT_OF_ORDER
40,1,82,OK
41,0,0,TIMEOUT
42,0,0,TIMEOUT
42,1,0,OUT_OF_ORDER
44,1,125,OUT_OF_ORDER
45,1,125,OK
46,1,0,OK
41,1,376,OUT_OF_ORDER
47,1,126,OK
49,1,125,OUT_OF_ORDER
48,1,127,OUT_OF_ORDER
50,1,125,OK
53,1,124,OUT_OF_ORDER
52,1,126,OUT_OF_ORDER
55,1,0,OUT_OF_ORDER
56,1,126,OK
54,1,127,OUT_OF_ORDER
59,1,0,OUT_OF_ORDER
60,1,0,OK
58,1,127,OUT_OF_ORDER
63,1,0,OUT_OF_ORDER
62,1,1,OUT_OF_ORDER
64,0,0,TIMEOUT
65,0,0,TIMEOUT
66,0,0,TIMEOUT
66,1,68,OUT_OF_ORDER
67,1,68,OK
64,1,194,OUT_OF_ORDER
68,0,0,TIMEOUT
69,0,0,TIMEOUT
70,1,0,OK
68,1,252,OUT_OF_ORDER
71,1,126,OK
73,1,126,OUT_OF_ORDER
72,1,126,OUT_OF_ORDER
75,1,126,OUT_OF_ORDER
74,1,126,OUT_OF_ORDER
78,1,0,OUT_OF_ORDER
79,1,1,OK
76,1,253,OUT_OF_ORDER
81,1,127,OUT_OF_ORDER
80,1,128,OUT_OF_ORDER
82,1,1,OK
85,1,0,OUT_OF_ORDER
86,1,0,OK
87,1,0,OK
84,1,126,OUT_OF_ORDER
88,1,126,OK
89,1,1,OK
92,1,0,OUT_OF_ORDER
93,0,0,TIMEOUT
94,0,0,TIMEOUT
91,1,169,OUT_OF_ORDER
93,1,43,OUT_OF_ORDER
95,1,43,OK
96,1,43,OK
97,1,41,OK
94,1,168,OUT_OF_ORDER
99,1,41,OUT_OF_ORDER
100,0,0,TIMEOUT
101,0,0,TIMEOUT
101,1,85,OUT_OF_ORDER
98,1,210,OUT_OF_ORDER
102,1,85,OK
103,0,0,TIMEOUT
105,1,0,OUT_OF_ORDER
104,1,126,OUT_OF_ORDER
107,1,125,OUT_OF_ORDER
106,1,125,OUT_OF_ORDER
109,1,0,OUT_OF_ORDER
108,1,252,OUT_OF_ORDER
112,1,125,OUT_OF_ORDER
114,1,1,OUT_OF_ORDER
110,1,127,OUT_OF_ORDER
116,1,126,OUT_OF_ORDER
115,1,126,OUT_OF_ORDER
118,1,0,OUT_OF_ORDER
119,1,0,OK
120,0,0,TIMEOUT
117,1,147,OUT_OF_ORDER
121,1,22,OK
123,1,22,OUT_OF_ORDER
122,1,22,OUT_OF_ORDER
124,1,147,OK
126,1,22,OUT_OF_ORDER
127,1,22,OK
128,0,0,TIMEOUT
129,0,0,TIMEOUT
128,1,62,OUT_OF_ORDER
131,1,61,OUT_OF_ORDER
125,1,188,OUT_OF_ORDER
132,0,0,TIMEOUT
133,0,0,TIMEOUT
134,0,0,TIMEOUT
133,1,123,OUT_OF_ORDER
132,1,249,OUT_OF_ORDER
135,1,123,OK
134,1,126,OUT_OF_ORDER
136,1,126,OK
137,1,126,OK
138,1,126,OK
141,1,0,OUT_OF_ORDER
140,1,253,OUT_OF_ORDER
143,1,126,OUT_OF_ORDER
142,1,126,OUT_OF_ORDER
144,1,127,OK
146,1,125,OUT_OF_ORDER
145,1,125,OUT_OF_ORDER
148,1,125,OUT_OF_ORDER
150,1,0,OUT_OF_ORDER
151,1,126,OK
152,1,127,OK
147,1,254,OUT_OF_ORDER
153,1,2,OK
155,1,126,OUT_OF_ORDER
154,1,127,OUT_OF_ORDER
157,1,0,OUT_OF_ORDER
159,1,0,OUT_OF_ORDER
160,1,126,OK
156,1,252,OUT_OF_ORDER
162,1,1,OUT_OF_ORDER
163,1,0,OK
164,1,125,OK
